,Affective State,Classifiers,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17
et,Bi,ET,0.914 ± 0.034,0.718 ± 0.034,0.958 ± 0.019,0.907 ± 0.022,0.967 ± 0.021,0.928 ± 0.012,0.896 ± 0.026,0.983 ± 0.016,0.916 ± 0.055,0.739 ± 0.025,0.935 ± 0.026,0.805 ± 0.038,0.987 ± 0.018,0.87 ± 0.059,0.444 ± 0.059
rf,Bi,RF,0.93 ± 0.033,0.701 ± 0.021,0.971 ± 0.014,0.946 ± 0.027,0.98 ± 0.016,0.953 ± 0.006,0.884 ± 0.037,0.996 ± 0.009,0.917 ± 0.046,0.709 ± 0.072,0.93 ± 0.025,0.793 ± 0.054,0.978 ± 0.019,0.909 ± 0.056,0.519 ± 0.064
et,Tri,ET,0.91 ± 0.04,0.704 ± 0.016,0.965 ± 0.018,0.924 ± 0.03,0.969 ± 0.015,0.927 ± 0.012,0.872 ± 0.0,0.989 ± 0.013,0.895 ± 0.051,0.699 ± 0.057,0.898 ± 0.026,0.818 ± 0.028,0.975 ± 0.013,0.897 ± 0.04,0.45 ± 0.046
rf,Tri,RF,0.921 ± 0.035,0.692 ± 0.023,0.971 ± 0.013,0.957 ± 0.025,0.981 ± 0.014,0.955 ± 0.009,0.885 ± 0.026,1.0 ± 0.0,0.923 ± 0.04,0.658 ± 0.1,0.913 ± 0.027,0.8 ± 0.054,0.986 ± 0.016,0.917 ± 0.053,0.446 ± 0.097
et,Multi,ET,0.863 ± 0.043,0.706 ± 0.023,0.966 ± 0.015,0.923 ± 0.033,0.972 ± 0.016,0.925 ± 0.017,0.9 ± 0.021,0.99 ± 0.013,0.896 ± 0.048,0.641 ± 0.047,0.901 ± 0.036,0.751 ± 0.056,0.975 ± 0.017,0.882 ± 0.063,0.389 ± 0.039
rf,Multi,RF,0.9 ± 0.037,0.702 ± 0.027,0.974 ± 0.012,0.951 ± 0.04,0.978 ± 0.017,0.95 ± 0.008,0.859 ± 0.024,0.995 ± 0.01,0.889 ± 0.054,0.611 ± 0.019,0.923 ± 0.025,0.769 ± 0.083,0.984 ± 0.02,0.908 ± 0.07,0.394 ± 0.065
